	disrupted2onc
hsa-miR-4289	1
hsa-miR-4295	1
hsa-miR-4296	1
hsa-miR-4297	1
hsa-miR-4298	1
hsa-miR-431-5p	1
hsa-miR-4318	1
hsa-miR-432-3p	1
hsa-miR-4322	1
hsa-miR-4323	1
hsa-miR-4327	1
hsa-miR-4328	1
hsa-miR-4418	1
hsa-miR-4419a	1
hsa-miR-4419b	1
hsa-miR-4420	1
hsa-miR-4493	1
hsa-miR-4495	1
hsa-miR-4496	1
hsa-miR-4497	1
hsa-miR-454-3p	1
hsa-miR-4633-5p	1
hsa-miR-4635	1
hsa-miR-4638-3p	1
hsa-miR-4638-5p	1
hsa-miR-4640-3p	1
hsa-miR-4643	1
hsa-miR-4649-3p	1
hsa-miR-4650-3p	1
hsa-miR-4650-5p	1
hsa-miR-4652-3p	1
hsa-miR-4652-5p	1
hsa-miR-4653-5p	1
hsa-miR-4662a-3p	1
hsa-miR-4663	1
hsa-miR-4666a-3p	1
hsa-miR-4667-5p	1
hsa-miR-4535	1
hsa-miR-4533	1
hsa-miR-4530	1
hsa-miR-4510	1
hsa-miR-4501	1
hsa-miR-4502	1
hsa-miR-4504	1
hsa-miR-4505	1
hsa-miR-4506	1
hsa-miR-4509	1
hsa-miR-450b-3p	1
hsa-miR-4511	1
hsa-miR-4529-3p	1
hsa-miR-4518	1
hsa-miR-4519	1
hsa-miR-4520a-3p	1
hsa-miR-4521	1
hsa-miR-4525	1
hsa-miR-4526	1
hsa-miR-4528	1
hsa-miR-4286	1
hsa-miR-4282	1
hsa-miR-4274	1
hsa-miR-377-5p	1
hsa-miR-3664-5p	1
hsa-miR-3665	1
hsa-miR-3666	1
hsa-miR-3667-3p	1
hsa-miR-367-3p	1
hsa-miR-3670	1
hsa-miR-3675-5p	1
hsa-miR-3677-3p	1
hsa-miR-3679-3p	1
hsa-miR-3680-5p	1
hsa-miR-3681-3p	1
hsa-miR-3681-5p	1
hsa-miR-3688-3p	1
hsa-miR-3688-5p	1
hsa-miR-3692-5p	1
hsa-miR-370	1
hsa-miR-371a-5p	1
hsa-miR-3663-3p	1
hsa-miR-3661	1
hsa-miR-365b-5p	1
hsa-miR-3621	1
hsa-miR-361-3p	1
hsa-miR-361-5p	1
hsa-miR-3616-5p	1
hsa-miR-3617	1
hsa-miR-3619-3p	1
hsa-miR-362-5p	1
hsa-miR-3620	1
hsa-miR-3622a-5p	1
hsa-miR-365a-5p	1
hsa-miR-363-3p	1
hsa-miR-3646	1
hsa-miR-3649	1
hsa-miR-3652	1
hsa-miR-3653	1
hsa-miR-3654	1
hsa-miR-3658	1
hsa-miR-377-3p	1
hsa-miR-378a-3p	1
hsa-miR-4269	1
hsa-miR-378b	1
hsa-miR-3943	1
hsa-miR-3945	1
hsa-miR-3975	1
hsa-miR-3976	1
hsa-miR-410	1
hsa-miR-421	1
hsa-miR-422a	1
hsa-miR-423-5p	1
