	miRNA	Genesymbol
1173	hsa-miR-424-3p	AKT1
1186	hsa-miR-548at-5p	BTG1
1242	hsa-miR-329	BCL9
1243	hsa-miR-362-3p	BCL9
1270	hsa-miR-421	SS18L1
1302	hsa-miR-4436b-3p	AKT2
1321	hsa-miR-635	MYD88
1389	hsa-miR-1913	BTG1
1394	hsa-miR-302c-5p	POT1
1396	hsa-miR-635	NRG1
1404	hsa-miR-4757-5p	ERG
1423	hsa-miR-3612	STIL
1442	hsa-miR-4532	BTG1
1456	hsa-miR-5580-5p	NKX2-1
1467	hsa-miR-4652-5p	CCND2
1472	hsa-miR-143-5p	ERCC4
1473	hsa-miR-20a-5p	ABI1
1559	hsa-let-7g-3p	GPHN
1573	hsa-miR-361-3p	LHFP
1588	hsa-miR-3939	ELK4
1640	hsa-miR-376a-3p	ERG
1641	hsa-miR-376b	ERG
1653	hsa-miR-582-3p	GATA3
1682	hsa-miR-3120-5p	HIP1
1689	hsa-miR-5683	PAFAH1B2
1696	hsa-miR-452-3p	GNAS
1706	hsa-miR-4425	PAFAH1B2
1712	hsa-miR-193b-3p	KDSR
1725	hsa-miR-633	CBL
1747	hsa-miR-4435	CREB1
1780	hsa-miR-1538	ELL
1796	hsa-miR-142-5p	MAP3K13
1818	hsa-miR-568	MAP3K13
1887	hsa-miR-5196-3p	GNAS
1940	hsa-miR-1275	MYOD1
1965	hsa-miR-4651	5-Sep
2002	hsa-miR-4425	MLLT6
2049	hsa-miR-513c-5p	NRAS
2150	hsa-miR-877-5p	MAX
2158	hsa-miR-3173-3p	SDHC
2170	hsa-miR-378a-3p	IL6ST
2171	hsa-miR-378b	IL6ST
2172	hsa-miR-378c	IL6ST
2173	hsa-miR-378d	IL6ST
2174	hsa-miR-378e	IL6ST
2175	hsa-miR-378f	IL6ST
2176	hsa-miR-378h	IL6ST
2177	hsa-miR-378i	IL6ST
2178	hsa-miR-422a	IL6ST
2179	hsa-miR-4452	IL6ST
2180	hsa-miR-516b-5p	IL6ST
2182	hsa-miR-323a-5p	NRG1
2188	hsa-miR-4661-3p	GNAS
2189	hsa-miR-596	GNAS
2191	hsa-miR-3937	GNAS
2200	hsa-miR-7-5p	KDM5C
2201	hsa-miR-4433-5p	AMER1
2202	hsa-miR-3126-5p	ATP2B3
2203	hsa-miR-338-5p	WHSC1
2212	hsa-miR-2117	5-Sep
2213	hsa-miR-4273	5-Sep
2214	hsa-miR-4279	5-Sep
2215	hsa-miR-629-3p	5-Sep
2226	hsa-miR-3175	WHSC1
2227	hsa-miR-4661-3p	WHSC1
2229	hsa-miR-4999-3p	WHSC1
2230	hsa-miR-4330	ITK
2235	hsa-miR-650	STIL
2239	hsa-miR-4284	LPP
2245	hsa-miR-5583-3p	WHSC1
2246	hsa-miR-149-3p	ACSL6
2288	hsa-miR-619	ARHGAP26
2290	hsa-miR-512-5p	HIP1
2298	hsa-miR-130a-3p	FGFR1
2299	hsa-miR-130b-3p	FGFR1
2301	hsa-miR-301a-3p	FGFR1
2302	hsa-miR-301b	FGFR1
2356	hsa-miR-3147	PAFAH1B2
2362	hsa-miR-374b-3p	CBL
2365	hsa-miR-4663	ERBB3
2367	hsa-miR-5186	ERBB3
2369	hsa-miR-548a-5p	MDM2
2370	hsa-miR-548ak	MDM2
2371	hsa-miR-548am-5p	MDM2
2372	hsa-miR-548ap-5p	MDM2
2373	hsa-miR-548ar-5p	MDM2
2374	hsa-miR-548as-5p	MDM2
2375	hsa-miR-548au-5p	MDM2
2377	hsa-miR-548c-5p	MDM2
2378	hsa-miR-548d-5p	MDM2
2379	hsa-miR-548h-5p	MDM2
2380	hsa-miR-548i	MDM2
2381	hsa-miR-548j	MDM2
2382	hsa-miR-548k	MDM2
2383	hsa-miR-548l	MDM2
2384	hsa-miR-548o-5p	MDM2
2385	hsa-miR-548t-5p	MDM2
2386	hsa-miR-548w	MDM2
2387	hsa-miR-548y	MDM2
2388	hsa-miR-338-3p	MDM2
2389	hsa-miR-4310	MDM2
2396	hsa-miR-4665-5p	MDM2
2398	hsa-miR-34b-3p	MDM2
2401	hsa-miR-548ae	PTPRB
2402	hsa-miR-548aq-3p	PTPRB
2404	hsa-miR-548d-3p	PTPRB
2417	hsa-miR-2467-3p	GAS7
2421	hsa-miR-1276	GAS7
2428	hsa-miR-4487	GAS7
2499	hsa-miR-3147	MLLT6
2510	hsa-miR-425-3p	RNF213
2516	hsa-miR-4493	SS18
2522	hsa-miR-1231	BCL2
