	miRNA	Genesymbol
1140	hsa-miR-216b	CBL
1141	hsa-miR-4728-5p	SS18
1144	hsa-miR-150-5p	ABL2
1153	hsa-miR-4659a-3p	FGF5
1155	hsa-miR-1269b	ABL2
1162	hsa-miR-302b-5p	WHSC1
1165	hsa-miR-106b-5p	GAS7
1169	hsa-miR-508-5p	SPECC1
1172	hsa-miR-302b-3p	AKT2
1175	hsa-miR-138-5p	RUNX1T1
1190	hsa-miR-92a-3p	MECOM
1197	hsa-miR-548at-5p	AFF4
1198	hsa-miR-29a-5p	ERBB4
1200	hsa-miR-4693-3p	CDKN1B
1203	hsa-miR-20b-5p	TCTA
1204	hsa-miR-373-3p	TCTA
1205	hsa-miR-526b-3p	TCTA
1206	hsa-miR-548h-5p	FGF5
1208	hsa-miR-106a-5p	MLLT6
1209	hsa-miR-17-5p	MLLT6
1210	hsa-miR-20a-5p	MLLT6
1211	hsa-miR-373-3p	AKT2
1212	hsa-miR-520b	AKT2
1217	hsa-miR-502-3p	AFF4
1218	hsa-miR-3943	WHSC1
1222	hsa-miR-802	AFF1
1225	hsa-miR-567	FGF5
1226	hsa-miR-548n	NR4A3
1228	hsa-miR-548ab	FGF5
1230	hsa-miR-302c-3p	AKT2
1236	hsa-miR-4799-5p	PAK7
1238	hsa-miR-1269a	ABL2
1245	hsa-miR-3613-3p	FOXO1
1246	hsa-miR-302d-5p	WHSC1
1247	hsa-miR-4745-5p	WNT5A
1249	hsa-miR-548ap-5p	FGF5
1250	hsa-miR-548d-5p	FGF5
1251	hsa-miR-548l	FGF5
1255	hsa-miR-519d	PCM1
1256	hsa-miR-150-5p	SYK
1260	hsa-miR-4722-3p	MLLT6
1261	hsa-miR-548s	RNF213
1262	hsa-miR-4781-3p	FGF5
1264	hsa-miR-3935	FGFR1
1273	hsa-miR-93-5p	MLL
1275	hsa-miR-29b-2-5p	USP4
1277	hsa-miR-4659b-3p	FGF5
1279	hsa-miR-125a-3p	AFF4
1280	hsa-miR-3934	AFF4
1281	hsa-miR-4530	WHSC1
1282	hsa-miR-5579-5p	BCL2
1283	hsa-miR-4495	AFF4
1284	hsa-miR-3151	WNT5A
1286	hsa-miR-4307	PBX3
1288	hsa-miR-1231	LITAF
1289	hsa-miR-520d-5p	WISP1
1293	hsa-miR-335-3p	PICALM
1297	hsa-miR-204-3p	TCTA
1298	hsa-miR-548au-5p	FGF5
1299	hsa-miR-548w	FGF5
1301	hsa-miR-520a-3p	AKT2
1304	hsa-miR-548c-3p	SPECC1
1307	hsa-miR-1976	MLLT6
1308	hsa-miR-196a-3p	ARHGAP26
1310	hsa-miR-3135b	GAS7
1314	hsa-miR-1273g-3p	MDM2
1315	hsa-miR-656	BTG1
1316	hsa-miR-1537	MAF
1317	hsa-miR-548av-5p	RUNX1
1319	hsa-miR-5009-3p	ERBB4
1321	hsa-miR-1256	EPS15
1324	hsa-miR-424-5p	WHSC1
1325	hsa-miR-3665	GNAS
1327	hsa-miR-3156-3p	WHSC1
1329	hsa-miR-497-3p	PAX3
1332	hsa-miR-3613-3p	PICALM
1333	hsa-miR-607	PICALM
1340	hsa-miR-106b-5p	TCTA
1341	hsa-miR-20a-5p	TCTA
1342	hsa-miR-302d-3p	TCTA
1343	hsa-miR-519d	TCTA
1344	hsa-miR-548am-5p	FGF5
1345	hsa-miR-548ar-5p	FGF5
1346	hsa-miR-548av-5p	FGF5
1347	hsa-miR-548b-5p	FGF5
1348	hsa-miR-548c-5p	FGF5
1349	hsa-miR-548i	FGF5
1350	hsa-miR-548o-5p	FGF5
1359	hsa-miR-4733-5p	MET
1361	hsa-miR-30b-3p	MDM2
1362	hsa-miR-3122	MDM2
1363	hsa-miR-372	GAS7
1364	hsa-miR-526b-3p	GAS7
1371	hsa-miR-20b-5p	MLLT6
1372	hsa-miR-372	MLLT6
1373	hsa-miR-373-3p	MLLT6
1375	hsa-miR-512-3p	MLLT6
1376	hsa-miR-526b-3p	MLLT6
1377	hsa-miR-30c-1-3p	RNF213
1378	hsa-miR-3122	RNF213
1379	hsa-miR-3689a-3p	RNF213
1380	hsa-miR-3689b-3p	RNF213
1381	hsa-miR-3689c	RNF213
1382	hsa-miR-302e	AKT2
1383	hsa-miR-520d-3p	AKT2
1388	hsa-miR-4684-5p	KRAS
1390	hsa-miR-411-5p	KDSR
1391	hsa-miR-3187-5p	ARHGAP26
1393	hsa-miR-3675-3p	ARHGAP26
1395	hsa-miR-150-5p	NRAS
1397	hsa-miR-340-3p	ZNF320
1398	hsa-miR-3913-3p	BCL11A
1399	hsa-miR-382-5p	AFF4
1400	hsa-miR-4424	RUNX1T1
1415	hsa-miR-4270	CREB3L2
1416	hsa-miR-485-3p	AFF4
1417	hsa-miR-548k	RUNX1
1419	hsa-miR-28-5p	ERBB3
1421	hsa-miR-599	MAF
1422	hsa-miR-4715-5p	SPI1
1424	hsa-miR-552	AFF4
1425	hsa-miR-548d-3p	BCL11A
1426	hsa-miR-2113	RUNX1T1
1441	hsa-miR-4687-3p	VAV2
1444	hsa-miR-298	AFF1
1446	hsa-miR-22-5p	CRKL
1447	hsa-miR-3158-5p	PBX1
1448	hsa-miR-4481	WNT5A
1450	hsa-miR-4307	FGF5
1451	hsa-miR-33a-3p	PBX3
1453	hsa-miR-583	CARS
1456	hsa-miR-654-3p	LITAF
1462	hsa-miR-1273g-5p	GNAS
1464	hsa-miR-657	GNAS
1465	hsa-miR-876-3p	GNAS
1471	hsa-miR-3163	WHSC1
1472	hsa-miR-4803	WHSC1
1473	hsa-miR-1273g-3p	WHSC1
1482	hsa-miR-512-3p	REL
1483	hsa-miR-106a-5p	TCTA
1484	hsa-miR-17-5p	TCTA
1485	hsa-miR-302a-3p	TCTA
1486	hsa-miR-302b-3p	TCTA
1487	hsa-miR-302c-3p	TCTA
1490	hsa-miR-512-3p	TCTA
1491	hsa-miR-520a-3p	TCTA
1492	hsa-miR-520b	TCTA
1493	hsa-miR-520c-3p	TCTA
1494	hsa-miR-520d-3p	TCTA
1495	hsa-miR-520e	TCTA
1498	hsa-miR-548aq-5p	FGF5
1499	hsa-miR-548as-5p	FGF5
1500	hsa-miR-548j	FGF5
1501	hsa-miR-548k	FGF5
1502	hsa-miR-559	FGF5
1514	hsa-miR-143-5p	FGFR1
1517	hsa-miR-5693	FGFR1
1570	hsa-miR-204-3p	ERBB3
1572	hsa-miR-5089	ERBB3
1574	hsa-miR-5589-5p	ERBB3
1582	hsa-miR-548c-3p	MDM2
1596	hsa-miR-149-3p	MDM2
1597	hsa-miR-30c-1-3p	MDM2
1598	hsa-miR-30c-2-3p	MDM2
1599	hsa-miR-3689a-3p	MDM2
1600	hsa-miR-3689b-3p	MDM2
1601	hsa-miR-3689c	MDM2
1603	hsa-miR-4728-5p	MDM2
1605	hsa-miR-4530	MDM2
1606	hsa-miR-4733-5p	MDM2
1612	hsa-miR-302a-3p	GAS7
1613	hsa-miR-302b-3p	GAS7
1614	hsa-miR-302c-3p	GAS7
1615	hsa-miR-302d-3p	GAS7
1616	hsa-miR-302e	GAS7
1617	hsa-miR-373-3p	GAS7
1619	hsa-miR-512-3p	GAS7
1620	hsa-miR-519d	GAS7
1621	hsa-miR-520a-3p	GAS7
1622	hsa-miR-520b	GAS7
1623	hsa-miR-520c-3p	GAS7
1624	hsa-miR-520d-3p	GAS7
1625	hsa-miR-520e	GAS7
1626	hsa-miR-520g	GAS7
1627	hsa-miR-520h	GAS7
1679	hsa-miR-532-5p	SPECC1
1682	hsa-miR-106b-5p	MLLT6
1683	hsa-miR-204-3p	MLLT6
1684	hsa-miR-302a-3p	MLLT6
1685	hsa-miR-302b-3p	MLLT6
1686	hsa-miR-302c-3p	MLLT6
1687	hsa-miR-302d-3p	MLLT6
1688	hsa-miR-302e	MLLT6
1690	hsa-miR-519d	MLLT6
1691	hsa-miR-520a-3p	MLLT6
1692	hsa-miR-520b	MLLT6
1693	hsa-miR-520c-3p	MLLT6
1694	hsa-miR-520d-3p	MLLT6
1695	hsa-miR-520e	MLLT6
1696	hsa-miR-5589-5p	MLLT6
1697	hsa-miR-93-5p	MLLT6
1698	hsa-miR-30b-3p	RNF213
1699	hsa-miR-30c-2-3p	RNF213
1701	hsa-miR-4728-5p	RNF213
1702	hsa-miR-149-3p	SS18
1703	hsa-miR-3689a-3p	SS18
1704	hsa-miR-3689b-3p	SS18
1705	hsa-miR-3689c	SS18
1713	hsa-miR-3937	KDSR
1714	hsa-miR-4438	KDSR
1716	hsa-miR-186-3p	AKT2
1717	hsa-miR-302a-3p	AKT2
1719	hsa-miR-512-3p	AKT2
1720	hsa-miR-520c-3p	AKT2
1721	hsa-miR-520e	AKT2
1738	hsa-miR-4279	MLLT6
1746	hsa-miR-5189	ARHGAP26
1747	hsa-miR-612	ARHGAP26
1751	hsa-miR-1295b-5p	GAS7
1753	hsa-miR-3652	GAS7
1754	hsa-miR-4430	GAS7
1770	hsa-miR-3937	ARHGAP26
1771	hsa-miR-4438	ARHGAP26
1775	hsa-miR-27b-5p	PDGFB
1778	hsa-miR-4652-3p	KAT6A
1786	hsa-miR-4793-3p	MDM2
1788	hsa-miR-32-5p	MECOM
1798	hsa-miR-210	ABL2
1799	hsa-miR-933	ABL2
1840	hsa-miR-106a-5p	MLL
1841	hsa-miR-106b-5p	MLL
1842	hsa-miR-17-5p	MLL
1843	hsa-miR-20a-5p	MLL
1844	hsa-miR-20b-5p	MLL
1847	hsa-miR-519d	MLL
1848	hsa-miR-526b-3p	MLL
1860	hsa-miR-4722-3p	PBX1
1869	hsa-miR-548ao-5p	RARB
1870	hsa-miR-548ax	RARB
1872	hsa-miR-708-3p	RARB
1879	hsa-miR-489	AFF4
1880	hsa-miR-561-3p	AFF4
1889	hsa-miR-5681b	MAFB
1890	hsa-miR-569	RUNX1T1
1905	hsa-miR-3130-3p	MLLT6
1906	hsa-miR-500a-3p	MLLT6
1919	hsa-miR-3978	PAX5
1925	hsa-miR-421	AFF4
1927	hsa-miR-3914	WNT1
1945	hsa-miR-4716-3p	CCND2
1947	hsa-miR-5003-3p	AFF4
1949	hsa-miR-539-3p	AFF4
1950	hsa-miR-4799-5p	BCL11A
1953	hsa-miR-2681-5p	BTG1
1956	hsa-miR-191-5p	RUNX1
1976	hsa-miR-4678	KRAS
1978	hsa-miR-708-5p	ERBB3
1983	hsa-miR-4668-3p	PAX7
1996	hsa-miR-4462	MDM2
1998	hsa-miR-4524a-5p	TPM3
1999	hsa-miR-4524b-5p	TPM3
