	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-3158-5p			AFF4	1
hsa-miR-3159	DIS3			1
hsa-miR-3161	PGR,BRWD1	SUZ12		3
hsa-miR-3162-3p			AFF4	1
hsa-miR-3162-5p	KIT	ACSL6		2
hsa-miR-3163			SVEP1,WHSC1	2
hsa-miR-3166			MYD88	1
hsa-miR-3167			ACSL3	1
hsa-miR-3170	ADCY1			1
hsa-miR-3171	MACF1	TBL1XR1		2
hsa-miR-3173-3p	BAZ2B			1
hsa-miR-3175	STARD13		WHSC1	2
hsa-miR-3180-5p		COPS2		1
hsa-miR-3182		SMAD4		1
hsa-miR-3184-3p	LRP6			1
hsa-miR-3184-5p		EP300		1
hsa-miR-3185	PTPN11	EIF1AX	FGFR1	3
hsa-miR-3187-5p		ARHGAP26	JMY	2
hsa-miR-3188	MAX	RUNX1,NF1		3
hsa-miR-3189-3p		THRAP3	RGS3	2
hsa-miR-3192	SOX17	CIC		2
hsa-miR-3193	HRAS			1
hsa-miR-3194-3p		TET2,STK11		2
hsa-miR-3194-5p	TJP2			1
hsa-miR-3199		TFDP2		1
hsa-miR-32-5p	MECOM		STK4	2
hsa-miR-3200-5p	PTPN11	IRS2	MAGI2	3
hsa-miR-3202			RGS3	1
hsa-miR-320a	HNF1A			1
hsa-miR-320b	HNF1A			1
hsa-miR-320c	HNF1A			1
hsa-miR-320d	HNF1A			1
hsa-miR-320e	HNF1A	ACSL6	JMY	3
hsa-miR-323a-3p	PIK3R3	HLA-A		2
hsa-miR-323a-5p		CUL2		1
hsa-miR-323b-3p	FGFR2		WHSC1	2
hsa-miR-324-3p	MYH14		FGFR1	2
hsa-miR-326	ELF4	STK11		2
hsa-miR-329	KRAS	LDHA,SOX9		3
hsa-miR-330-3p	GNAS,POM121		FGFR1,IRF6	4
hsa-miR-330-5p	ELF4	STK11		2
hsa-miR-331-3p		THRAP3	FAM46C	2
hsa-miR-331-5p	NTRK2			1
hsa-miR-335-3p		CTCF		1
hsa-miR-338-3p		EEF1A1		1
hsa-miR-338-5p	CAT	TET2	WHSC1	3
hsa-miR-339-5p		SMAD2		1
hsa-miR-33a-3p	PIK3R3,EIF4G3			2
hsa-miR-33a-5p	CAT			1
hsa-miR-33b-5p	CAT			1
hsa-miR-340-3p		SMAD2		1
hsa-miR-340-5p		NF2,ZMYM2		2
hsa-miR-342-3p	SRGAP1	HLA-A		2
hsa-miR-342-5p		MUC20		1
hsa-miR-346			CRTC3	1
hsa-miR-3529-3p	PGR	BNC2,VHL	WASF3	4
hsa-miR-3545-3p	PPP2R5C			1
hsa-miR-3591-3p	SMC1A			1
hsa-miR-3607-3p		ATRX		1
hsa-miR-3607-5p		IRS2		1
hsa-miR-3609	NTRK3	MLL	AFF4	3
hsa-miR-361-3p		THRAP3,TET2	WHSC1	3
hsa-miR-361-5p	CRNKL1		AFF4	2
hsa-miR-3612		TCF7L2	FGFR1	2
hsa-miR-3613-3p	PGR,MET,TCF4	SMAD2,GNG2,VHL,TET2,FUBP1	WASF3	9
hsa-miR-3614-5p	MCM8			1
hsa-miR-3616-5p	MYH11,KIT			2
hsa-miR-3617	MCM3			1
hsa-miR-3619-3p	BAZ2B		SYK	2
hsa-miR-3619-5p		CHD3		1
hsa-miR-362-3p	KRAS	LDHA,SOX9		3
hsa-miR-3622a-5p	BRWD1			1
hsa-miR-3622b-5p	SIN3A,DHX35			2
hsa-miR-363-3p	MECOM		STK4	2
hsa-miR-363-5p	NDRG1	EP300		2
hsa-miR-3646	NTRK2	FBXW7,VHL		3
hsa-miR-3652	LPHN2	MUC20,FAF1	RASGRP1,STK4	5
hsa-miR-3653	KAT6B			1
hsa-miR-3658	KAT6B			1
hsa-miR-3659			SMURF2	1
hsa-miR-365a-3p	HDAC9			1
hsa-miR-365a-5p		TFDP2		1
hsa-miR-365b-3p	HDAC9			1
hsa-miR-365b-5p		TFDP2		1
hsa-miR-3660	GNAS,RET	VHL		3
hsa-miR-3662		FUBP1,FBXW7	SVEP1	3
hsa-miR-3664-3p		NF2		1
hsa-miR-3664-5p	FGFR2	PTGS1		2
hsa-miR-3665	GNAS	NAP1L1,MAP2K4		3
hsa-miR-3666	LRP6	CDKN2A	FGFR1	3
hsa-miR-3667-3p	NTRK2	FN1,TBX3,INPPL1		4
hsa-miR-3667-5p	TCF4			1
hsa-miR-3668		ACO1		1
hsa-miR-3669			SH2B3	1
hsa-miR-367-3p	MECOM		STK4	2
hsa-miR-367-5p		TET2	VIM	2
hsa-miR-3670		SMARCB1		1
hsa-miR-3671		LDHA	CDC73	2
hsa-miR-3672	FAT2	SMAD2		2
hsa-miR-3673		NCKAP1,SMAD2		2
hsa-miR-3675-3p	SCAI	ARHGAP26,TET2		3
hsa-miR-3675-5p	TCF4			1
hsa-miR-3677-3p			FANCI	1
hsa-miR-3677-5p	MAX	STK11		2
hsa-miR-3679-3p		TET2		1
hsa-miR-3681-3p	GNAS,NRAS	PIK3R1	CAPN7	4
hsa-miR-3683		CDKN2A		1
hsa-miR-3684	POM121			1
hsa-miR-3686	AHR,SRGAP1	MUC20,EEF1A1		4
hsa-miR-3688-3p	NTRK2,RET	MLL3		3
hsa-miR-3688-5p	SMC1A			1
hsa-miR-3689a-3p	SIN3A	TFDP2,ACSL6,CIC		4
hsa-miR-3689b-3p	SIN3A	TFDP2,ACSL6,CIC		4
hsa-miR-3689c	SIN3A	TFDP2,ACSL6,CIC		4
hsa-miR-3689d	NTRK3	NF1,ARID1A		3
hsa-miR-369-3p	NTRK2		PCSK5	2
hsa-miR-3692-3p	EGFR		AFF4	2
hsa-miR-371a-5p		MLLT4		1
hsa-miR-371b-5p	SCAI			1
hsa-miR-372	TCF4,AHR	TP53	PCSK5	4
hsa-miR-373-3p	TCF4	TP53	PCSK5	3
hsa-miR-373-5p	SCAI			1
hsa-miR-374a-3p	CRNKL1,BCLAF1		SYNCRIP	3
hsa-miR-374a-5p		CAST		1
hsa-miR-374b-3p			FGFR1	1
hsa-miR-374b-5p		CAST	MAGI2	2
hsa-miR-374c-5p	NTRK2			1
hsa-miR-375	KIT	MAP2K4		2
hsa-miR-376a-5p		RTN4		1
hsa-miR-376c		CAST		1
hsa-miR-377-3p	EGFR	SMAD2	FGFR1	3
hsa-miR-377-5p		ZMYM2,NSD1		2
hsa-miR-378a-3p	NKX3-1			1
hsa-miR-378a-5p		COPS2	CNOT4	2
hsa-miR-378b	NKX3-1			1
hsa-miR-378c	NKX3-1			1
hsa-miR-378d	NKX3-1			1
hsa-miR-378e	NKX3-1			1
hsa-miR-378f	NKX3-1			1
hsa-miR-378g	ADCY1			1
hsa-miR-378h	NKX3-1			1
hsa-miR-378i	NKX3-1			1
hsa-miR-380-3p			FCRL4	1
hsa-miR-382-5p		ARID5B	AFF4	2
hsa-miR-3908		NAP1L1	FGFR1	2
hsa-miR-3909			FAM46C	1
hsa-miR-3913-3p	BRWD1,BCL11A			2
hsa-miR-3913-5p		SMAD2		1
hsa-miR-3915	PTPN11			1
hsa-miR-3916	FAT2			1
hsa-miR-3920		FAT1		1
hsa-miR-3921		TET2		1
hsa-miR-3922-5p	ERBB3	TP53		2
hsa-miR-3924	MAP2K1			1
hsa-miR-3925-5p		ACO1		1
hsa-miR-3928	PTPN11			1
hsa-miR-3929		RUNX1		1
hsa-miR-3934			AFF4	1
hsa-miR-3935			FGFR1	1
hsa-miR-3936		TOM1		1
hsa-miR-3937	GNAS	CDKN2A,ARHGAP26		3
hsa-miR-3939		GPSM2		1
hsa-miR-3940-5p	NR2F2			1
hsa-miR-3941	G3BP2,KRAS			2
hsa-miR-3942-3p	NTRK2	CYLD		2
hsa-miR-3942-5p		NAP1L1	FGFR1	2
hsa-miR-3943	PLCG1,ABL2		WHSC1,AFF4	4
hsa-miR-3944-5p	NTRK2			1
hsa-miR-3972	TJP2			1
