miR Family	Gene Symbol
let-7/98/4458/4500	HDHD1
let-7/98/4458/4500	HDLBP
let-7/98/4458/4500	HDX
let-7/98/4458/4500	HELZ
let-7/98/4458/4500	HIC1
let-7/98/4458/4500	HIC2
let-7/98/4458/4500	HIF1AN
let-7/98/4458/4500	HIF3A
let-7/98/4458/4500	HIPK2
let-7/98/4458/4500	HK2
let-7/98/4458/4500	HLF
let-7/98/4458/4500	HMGA1
let-7/98/4458/4500	HMGA2
let-7/98/4458/4500	HOOK1
let-7/98/4458/4500	HOXA9
let-7/98/4458/4500	HOXC11
let-7/98/4458/4500	HOXD1
let-7/98/4458/4500	HS2ST1
let-7/98/4458/4500	HSPE1-MOBKL3
let-7/98/4458/4500	HTR1E
let-7/98/4458/4500	HTR4
let-7/98/4458/4500	IARS
let-7/98/4458/4500	ICMT
let-7/98/4458/4500	ICOS
let-7/98/4458/4500	IDH2
let-7/98/4458/4500	IGDCC3
let-7/98/4458/4500	IGDCC4
let-7/98/4458/4500	IGF1
let-7/98/4458/4500	IGF1R
let-7/98/4458/4500	IGF2
let-7/98/4458/4500	IGF2BP1
let-7/98/4458/4500	IGF2BP2
let-7/98/4458/4500	IGF2BP3
let-7/98/4458/4500	IGLON5
let-7/98/4458/4500	IGSF1
let-7/98/4458/4500	IKBKAP
let-7/98/4458/4500	IKBKE
let-7/98/4458/4500	IKZF2
let-7/98/4458/4500	IL10
let-7/98/4458/4500	IL13
let-7/98/4458/4500	IL28RA
let-7/98/4458/4500	IL6
let-7/98/4458/4500	IL6R
let-7/98/4458/4500	IL8
let-7/98/4458/4500	ILDR2
let-7/98/4458/4500	IMPG2
let-7/98/4458/4500	INO80D
let-7/98/4458/4500	INPP5A
let-7/98/4458/4500	INSR
let-7/98/4458/4500	INTS2
let-7/98/4458/4500	IPO9
let-7/98/4458/4500	IQCB1
let-7/98/4458/4500	IRF4
let-7/98/4458/4500	IRGQ
let-7/98/4458/4500	IRS2
let-7/98/4458/4500	ISLR
