	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ANO7																									52.0				
ANO8														26.0															
ANP32A															40.0														
ANP32B														6.0															
ANPEP														36.0															
ANTXR1															23.0														
ANTXR2															38.0														
ANXA10											14.0																		
ANXA13										58.0					36.0														
ANXA7															34.0														
AOAH																													46.0
AOC2														16.0															
AOC3														31.0															
AOX1																10.0												11.0	
AP1AR														56.0															
AP1S1														69.0															
AP1S2														3.0															
AP1S3																									49.0				
AP2S1														18.0															
AP3D1														33.0	11.0														
AP3M1												36.0																	
AP3S2																									47.0				
AP4E1															60.0	34.0									24.0				
AP4S1																									45.0				
AP5B1														19.0											17.0				
AP5S1																									30.0				
AP5Z1														7.0															
APAF1																									132.0				
APBA1																10.0													
APBA2															26.0														
APBB1														189.0															
APBB2									56.0			98.0		98.0	238.0														
APC															60.0														
APC2															34.0														
APH1A														68.0															
API5																													196.0
APITD1-CORT										7.0					39.0														47.0
APLF									28.0							6.0													
APLN									17.0						36.0														
APLP1														80.0															
APLP2																													65.0
APMAP														34.0	20.0														
APOA1BP														24.0															
APOA5														84.0															
APOB														6.0															
APOBEC1														17.0															
APOBEC3D														47.0															
APOBEC3F																			27.0										
APOBEC3G														11.0															
APOBEC3H																									111.0				
APOC2														45.0															
APOD														12.0															
APOF																									10.0				
APOL1															96.0										24.0				
APOL2																		16.0											
APOL4														50.0															
APOL6			13.0											16.0				17.0							28.0				
APOLD1																									80.0				
APOOL									8.0																				11.0
APOPT1														15.0											15.0				
APPBP2																22.0									34.0				
APPL1								14.0																					
APTX																													48.0
AQP2															19.0														
AQP3														12.0				12.0											
AQP4														8.0															
AQP6															30.0														
AQP9														13.0	22.0														
AR									26.0						44.0														
ARAF														114.0															
ARC														23.0															
ARCN1														18.0											20.0				
ARF1														48.0															
ARF3												10.0			10.0										12.0				
ARF4																									18.0				
ARFGAP2			6.0																										
ARFGAP3															24.0														
ARFGEF2			8.0																										
ARFIP2															68.0														
ARFRP1		17.0												48.0					18.0										14.0
ARHGAP1														59.0															
ARHGAP11A																									38.0				
ARHGAP12														26.0						23.0									
ARHGAP23														16.0															
ARHGAP24									36.0						75.0														
ARHGAP25														40.0															
ARHGAP26																								22.0	118.0				
ARHGAP27														14.0															
ARHGAP28										17.0				27.0															
ARHGAP31															19.0														
ARHGAP35														28.0															
ARHGAP40														14.0															
ARHGAP5															24.0														
ARHGAP8														36.0															
ARHGDIA			48.0											138.0															
ARHGDIB																									30.0				
ARHGEF1														60.0															
ARHGEF10														28.0															
ARHGEF11														30.0															
ARHGEF12				12.0																									
ARHGEF26									9.0					33.0	30.0										126.0				7.0
ARHGEF28														30.0															
ARHGEF3														51.0															
ARHGEF33														14.0															
ARHGEF38			31.0				5.0			13.0																			
ARHGEF39														44.0										42.0	45.0				47.0
ARHGEF4														38.0															
ARHGEF6														31.0															
ARHGEF7																				36.0									
ARHGEF9									33.0					66.0	150.0														
ARID1A														46.0											34.0				
ARID3B														39.0															
ARID4A															54.0														
ARID4B														18.0	48.0														
ARID5A																													14.0
ARID5B															54.0	26.0													
ARIH1				14.0										10.0															
ARIH2OS																									13.0				
ARL11																									131.0				
ARL13A																													192.0
ARL3														12.0															
ARL4A									92.0			48.0																	
ARL4C									3.0																				
ARL5A														24.0															
ARL5B															33.0														
ARL6IP5								25.0																					
ARL6IP6																													39.0
ARL8A																			14.0										
ARL8B								34.0																					49.0
ARMC10															72.0										96.0				
ARMC3														14.0															
ARMC5														28.0	18.0														49.0
ARMC6														96.0															
ARMC7															10.0														
ARMCX4														19.0															
ARMCX5-GPRASP2														23.0															
ARMS2														10.0															
ARNT									72.0																				
ARNT2															156.0														
ARNTL2																									730.0				
ARPC1B														6.0															
ARPC4-TTLL3		42.0													9.0														7.0
ARPC5																									10.0				
ARPP21															69.0														
ARRB1														34.0															
ARRDC3														30.0	11.0														
ARRDC4															41.0														
ARRDC5														13.0															
ARSB															10.0														
ARSD														10.0											47.0				
ARSJ															14.0														
ARSK															12.0										65.0				
ART1																									17.0				
ART3										48.0																			
ARTN														105.0															
ARV1															9.0														
AS3MT																									53.0				
ASAP1											24.0			26.0	18.0														
ASAP3														26.0															
ASB1														20.0	40.0														
ASB13																													7.0
ASB14								50.0																					
ASB15														10.0															
ASB16																									26.0				
ASB3															36.0														
ASB4														28.0															
ASB6			123.0																										144.0
ASB7														22.0															
ASB8																									52.0				
ASB9																													84.0
ASCC1																													8.0
ASCC2																			40.0										
ASCC3															19.0														
ASCL1														34.0															
ASF1A															13.0														
ASH1L														7.0	18.0														
ASIC3																													76.0
ASPA									26.0																				
ASPH			26.0											138.0				26.0											
ASPHD2									14.0																				
ASPN		18.0				17.0																						22.0	40.0
ASPRV1												20.0		10.0															
ASRGL1														14.0															
ASTE1														11.0															
ASTN1															9.0														
ASTN2														235.0	21.0										101.0				39.0
ASXL2														18.0	6.0				24.0										
ASZ1																													15.0
ATAD1														18.0															
ATAD2B														44.0															
ATAD3C														18.0															
ATAT1															28.0														
ATCAY														11.0	14.0	22.0									173.0		6.0		
ATF2										11.0					27.0										55.0				13.0
ATF3																													58.0
ATF5														14.0															
ATF6															14.0														
ATF7															80.0														
ATF7IP2														25.0											54.0				42.0
ATG10																									84.0				
ATG12															19.0										40.0				
ATG13																													108.0
ATG14														34.0											40.0				
ATG16L1												100.0																195.0	
ATG2A														18.0															
ATG4A									12.0																				
ATG4B														34.0															
ATG5														27.0	10.0														
