	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ATP4B										5.0				5.0															
ATP5B														5.0															
ATP5F1									3.0																				
ATP5J2																			36.0										
ATP5J2-PTCD1														13.0											11.0				16.0
ATP5L2										10.0																			
ATP5S																									16.0				
ATP6V0A2																									24.0				
ATP6V0D2																									37.0				
ATP6V0E1	9.0														54.0														
ATP6V1A																									13.0				
ATP6V1C1														11.0											22.0				
ATP6V1C2														8.0															
ATP6V1F															28.0														
ATP6V1G1															31.0														
ATP6V1G3																													25.0
ATP7A															2.0														
ATP7B															33.0														
ATP8A1															32.0														
ATP8B1																									36.0				
ATP8B2														28.0											11.0				
ATP8B4															11.0														
ATPIF1																													18.0
ATRAID														9.0															
ATRN														14.0															
ATRNL1												9.0		6.0	10.0														
ATRX														6.0	42.0														
ATXN1									14.0					20.0					32.0										
ATXN1L														1.0															
ATXN2																													12.0
ATXN2L																													12.0
ATXN3															432.0										696.0				
ATXN7															30.0														
ATXN7L1																									22.0				
ATXN7L3														26.0															
ATXN7L3B														13.0											15.0		4.0		
AUH														20.0															
AURKA				48.0																									
AUTS2														20.0															
AVEN														9.0															
AVIL															14.0														
AVPR1B															6.0														
AXL			10.0																										
B3GALNT1															25.0														
B3GALNT2		17.0												14.0											35.0				5.0
B3GALT5									50.0																				
B3GALT6															6.0														
B3GALTL														19.0															
B3GNT2														5.0															
B3GNT5															12.0														
B3GNT6															8.0														
B3GNTL1			4.0																										
B4GALT1														4.0	12.0														
B4GALT4														30.0											14.0				
B4GALT5														15.0											15.0				
B4GALT6														5.0															
B9D1																													13.0
B9D2														17.0															
BAALC															24.0												16.0		11.0
BAAT															24.0														
BABAM1														42.0	18.0														
BACE1			36.0											18.0															
BACE2																													14.0
BACH2														8.0															
BAG1														6.0															
BAG4															12.0														
BAG5														42.0											45.0				
BAHD1														25.0	8.0														
BAI3														12.0															
BAIAP2														14.0			60.0												
BAIAP2L1														19.0															
BAIAP2L2														7.0	15.0														
BAIAP3														15.0															
BAK1																17.0													
BARHL2								16.0																					
BARX2			9.0																										
BASP1									5.0																				
BATF2														14.0															
BAX														12.0															
BAZ2A														10.0															
BAZ2B															17.0														
BBIP1															100.0										40.0				
BBS4														44.0															
BBS7												3.0																	
BBX			10.0											38.0	36.0														
BCAP29														4.0	46.0														8.0
BCAP31																													12.0
BCAR1														81.0															
BCAR3																		4.0											
BCAS1																									10.0				
BCAS2										14.0																			
BCAS3														32.0					30.0										
BCAS4														18.0	14.0														
BCAT1									60.0																				
BCAT2														16.0															
BCCIP										6.0																			
BCKDHB									10.0							10.0									6.0				
BCKDK																													7.0
BCL11A			8.0											9.0	3.0														
BCL11B														76.0	20.0			8.0											
BCL2														6.0											17.0				
BCL2L1														12.0															
BCL2L10																							16.0						
BCL2L11														6.0	128.0														187.0
BCL2L14		11.0																											
BCL2L15												2.0																	
BCL2L2								4.0																					
BCL2L2-PABPN1														10.0															
BCL6															27.0														
BCL6B																								16.0					
BCL7C														1.0															
BCL9														47.0															
BCLAF1										33.0				12.0															
BCR									6.0										30.0										
BDH1														39.0											39.0				
BDNF														34.0	476.0				85.0										
BDP1																7.0									7.0				
BEAN1														44.0															
BEND2														20.0											6.0				
BEND4				3.0										5.0															23.0
BEST3														62.0	36.0														
BET1															4.0														
BEX5														10.0															
BFAR									10.0																59.0				
BHLHE22																									2.0				
BHLHE40														27.0	9.0														
BHLHE41																											5.0		
BHMT														3.0															
BHMT2									4.0																				
BICD2														17.0	54.0														
BID												49.0																	
BIN2										7.0				10.0															
BIRC3														26.0															
BIRC5														14.0											44.0				42.0
BIRC6															4.0														
BIVM																									22.0				
BLCAP														65.0															
BLMH															16.0														
BLOC1S2														9.0	6.0														
BLOC1S3																									15.0				
BLOC1S4														11.0															
BLOC1S5														51.0											39.0				17.0
BLOC1S6																									14.0				
BMF															28.0														
BMP3																		6.0											
BMP5														28.0															
BMP7														9.0	19.0														
BMP8A										3.0																			
BMP8B																									25.0				
BMPER			8.0						6.0					17.0	13.0														
BMPR1A															10.0														
BMPR1B							24.0								48.0	64.0													
BNC1															12.0														
BNC2								6.0						6.0	17.0														
BNIP2														4.0	8.0														
BNIP3L								23.0							10.0														
BOD1L1															17.0														
BOK															18.0														
BOLA1																									7.0				
BPIFA3															14.0														
BPIFB4														33.0															
BPNT1																									35.0				
BPTF											16.0														16.0				
BRAF														4.0															
BRAP				9.0										22.0															
BRD3									24.0					20.0															
BRD4														16.0															
BRD8															12.0														
BRI3BP														9.0															
BRIP1												4.0																	
BRMS1L														1.0															
BRSK1																							3.0						
BRSK2														28.0															
BRWD1									5.0					8.0	33.0	10.0													25.0
BRWD3			9.0						18.0																				
BSDC1								92.0							16.0														48.0
BSN									7.0					22.0															
BSPRY														1.0													11.0		
BST1														18.0															
BST2														30.0															
BTAF1																								5.0					
BTBD1															18.0														
BTBD11									4.0																				
BTBD17																			12.0										
BTBD18															8.0														
BTBD7			4.0											6.0															
BTC																									1.0				
BTF3															13.0														
BTF3L4															90.0										33.0				
BTG1															64.0														
BTG2															8.0														
BTG3														16.0															
BTK										3.0																			
BTLA														20.0															
BTN2A1		18.0													12.0														53.0
BTN2A2		10.0		31.0											36.0														60.0
BTN3A1																30.0									76.0				
BTN3A2														40.0										40.0					
BTNL3														19.0															
BTNL8																													12.0
BTNL9			7.0																										
BTRC														45.0															
BUB1															6.0														
BVES															42.0														
BZW2												20.0		26.0															
C10orf10														13.0															
C10orf105														2.0															
C10orf111																									27.0				
C10orf113																													16.0
C10orf118															1.0	13.0									7.0				
C10orf131									7.0																				
C10orf2														22.0															
C10orf25																		10.0											
C10orf32															6.0														
C10orf53															12.0														
C10orf54														24.0	13.0														
C10orf67														6.0															
C10orf71														5.0															7.0
C10orf76																									5.0				
C10orf82										11.0																			
C10orf90															9.0														
C10orf99																												18.0	
C11orf24																10.0													
C11orf30														1.0															
C11orf41									10.0																				
C11orf49		13.0	7.0						8.0					24.0															5.0
C11orf54																									22.0				
C11orf57														36.0	15.0														
C11orf63																									8.0				
C11orf68															20.0														
C11orf70									6.0																10.0				14.0
C11orf73																													10.0
C11orf80														3.0															
C11orf83															8.0	4.0									24.0				
C11orf84														8.0															
C11orf86															14.0														
C11orf87				11.0					2.0					7.0	14.0														
C11orf91														42.0															
C11orf95															3.0														
C12orf23														5.0	4.0														
C12orf4															7.0														
C12orf43																									4.0				
C12orf44														54.0															
C12orf5															1.0														
C12orf56														18.0															
C12orf65														66.0															
C12orf68														10.0															
C12orf74														7.0															
C14orf1														17.0															
C14orf119															5.0										9.0				
C14orf182								23.0																					
C14orf28												19.0			25.0										8.0				
C14orf93			45.0																										
C15orf2																5.0													
C15orf32														9.0															
C15orf38																									5.0				
C15orf38-AP3S2																									26.0				
C15orf40																									15.0				
C15orf41														14.0															
C15orf48															38.0														
C15orf52														43.0											9.0				
C15orf57																		24.0											
C15orf62								31.0						12.0															
C16orf52														10.0											15.0				
C16orf54																									10.0				
C16orf55														29.0															
C16orf58			14.0											14.0															12.0
C16orf70														13.0															
C16orf72															3.0														
C16orf80																						12.0							
C16orf89																													11.0
C16orf95														24.0															
C17orf101									10.0																				
C17orf102														30.0															
C17orf103																									5.0				
C17orf107						21.0																							12.0
C17orf112														6.0															
C17orf49																													16.0
C17orf51														10.0															
C17orf58										15.0																			21.0
C17orf62														140.0															70.0
C17orf72														32.0															20.0
C17orf77																									20.0				
C17orf78															13.0														
C17orf85														12.0															
C17orf89															9.0														
C17orf99									5.0																				
C18orf1																36.0													
C18orf25														48.0															
C18orf32														14.0															
C18orf63									5.0					5.0															
C19orf12															44.0														
C19orf18															12.0														
C19orf26														6.0															
C19orf40														4.0											16.0				
C19orf44		18.0												13.0	16.0														28.0
C19orf47														16.0															
C19orf48														22.0															
C19orf54			24.0																						14.0				
C19orf66											12.0																		7.0
C1GALT1																									2.0				
C1QA														1.0															10.0
C1QBP														12.0															
C1QTNF1														42.0	99.0														
C1QTNF3															36.0														
C1QTNF5														17.0															
C1QTNF6																									32.0				
C1QTNF8			12.0																										
C1QTNF9																									5.0				
C1R														16.0															
C1RL															18.0														
C1S														14.0															
C1orf101																													18.0
C1orf105														8.0															
C1orf106																									16.0				
C1orf110																												6.0	
C1orf115														8.0															
C1orf116															34.0	18.0													
C1orf122														62.0															
C1orf130																11.0													
C1orf131															15.0														
C1orf158														6.0															
C1orf168														10.0	3.0														
C1orf173											5.0				9.0														
C1orf177														14.0															
C1orf187											9.0																		
C1orf190			22.0																										
C1orf192				8.0																									
C1orf198															24.0														
C1orf201																								52.0					
C1orf204														10.0															
C1orf21								47.0	7.0						13.0			14.0		4.0				31.0					
C1orf210																									34.0				
C1orf216																16.0													
C1orf229																									10.0				
C1orf233					17.0									8.0															
C1orf27															18.0														
C1orf31																		8.0											
C1orf35														16.0															
C1orf43														15.0															
C1orf65														11.0															
C1orf74														15.0															
C1orf86		4.0													11.0														
C1orf88																		12.0											
C1orf95														9.0															
C20orf160																								2.0					
C20orf166														22.0															
C20orf194									5.0																				
C20orf197															3.0														
C20orf202																5.0													
C20orf24																													56.0
C20orf26														4.0															
C20orf27														27.0															
C20orf96														54.0															
C21orf33														70.0															
C21orf58														14.0															
C21orf7																			8.0										
C21orf91				6.0											24.0														3.0
C22orf26															19.0														
C22orf29															7.0				9.0						21.0				
C22orf46														22.0	6.0														
C2CD2								4.0	20.0																				
C2CD2L											23.0																		
C2CD4A															17.0														
C2CD4C															14.0														
C2orf15																									10.0				
C2orf43														8.0															
C2orf44		8.0													10.0														
C2orf53														26.0															
C2orf67									3.0																				
C2orf69															5.0								15.0	8.0	6.0				
C2orf80																													9.0
C2orf83																													19.0
C2orf84									7.0																				
C2orf88														36.0	60.0									12.0					
C2orf91														16.0											16.0				
C3orf27															14.0														
C3orf33																									21.0				
C3orf38														4.0															
C3orf52														31.0	4.0										4.0				15.0
C3orf55				7.0										12.0															6.0
C3orf58															20.0														
C3orf62														10.0											55.0				
C3orf70									4.0																39.0				
C3orf71									7.0																				
C3orf72																									29.0				
C3orf80														6.0										5.0					
C4BPA														12.0															
C4orf26																									102.0				
C4orf29														5.0											8.0				
C4orf3																									18.0				
C4orf32															11.0														
C4orf40															29.0										4.0				
C5														8.0															
C5AR1																									25.0				
