	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
C5orf24															50										122				
C5orf28																									88				
C5orf38																													8
C5orf46															13														
C5orf51			16											16	11														
C5orf60																									33				
C5orf63														3															
C5orf64															44														
C6															24														
C6orf106															28	38													
C6orf118										13				10															
C6orf120														15															35
C6orf132															27										24				
C6orf170																									32				
C6orf223		9							46					45															4
C6orf25		16												150															
C6orf47														8								12							
C6orf58														9															
C6orf89																						40							
C7																									49				
C7orf25															12														
C7orf41														27	36														
C7orf43															16														
C7orf49														63															
C7orf50																									75				
C7orf60														9															
C7orf65															46										22				
C7orf73																								10					
C8A														7															
C8B														8					21										
C8orf22															78														
C8orf33															12			11											
C8orf4														7															
C8orf44															9										15				
C8orf46														14				23											
C8orf82														24															
C8orf86																									108				
C9														10	19														
C9orf114														30	36														6
C9orf123														52					10										
C9orf139																									54				
C9orf150	41																												
C9orf152																									17				
C9orf16														36															
C9orf170								29	13																				
C9orf171														16															
C9orf24																													58
C9orf40															15														
C9orf47															26				44										
C9orf64														16															
C9orf66			18																						21				
C9orf68																		2											
C9orf72														32															
C9orf85																									64				
C9orf91				42																					86				
C9orf96														19															
CA12														22	30										80				
CA13															37										31				
CA5B									13					34	12										17				
CAB39															6														
CAB39L																									24				
CABLES1															45														75
CABLES2															32														
CABP1														219															
CABP5															13														
CABP7														32															
CABS1														13															
CABYR																													104
CACFD1														116															
CACHD1														17	16														
CACNA1A											20			159															27
CACNA1B															26														18
CACNA1C			483											322	644	529													
CACNA1E														39	120														
CACNA1I															40														
CACNA2D2									66																				
CACNB2																									486				
CACNB4									96						72														
CACNG2								10						17															
CACNG3																			22										
CACNG4			13																										
CACNG7									10																				
CACNG8															11										125				
CACUL1								12						2		16									18				
CADM1									16						24														
CADM2									70					49	154														
CADM3															30														
CADPS														36															
CADPS2				21										99															
CALB2														70															
CALCOCO1																													56
CALCOCO2																									34				
CALCR																39			33										
CALCRL														39															
CALD1														70	185														
CALHM1									42																				
CALHM2														5															29
CALM1															23														
CALM2															11														
CALML3														25															
CALML4														6	36														
CALN1									114						112										78		16		
CALU										8				55	11	54									140				12
CAMK1D														8											102				
CAMK1G															64														
CAMK2A															10														
CAMK2B														42															
CAMK2G			282																										
CAMKK2														125	50														
CAMKMT														27															
CAMLG														3											52				
CAMSAP1															54														
CAMSAP2															12														
CAMTA1																									18				
CAND1															36														
CANT1														102															
CANX																		32											
CAP2			11											5	24														
CAPN1														117															
CAPN2														76															
CAPN5														73															
CAPN6														12															
CAPN7														12	10														
CAPRIN1															6														
CAPRIN2														116															102
CAPZA1														4															
CAPZA2														10										22					
CARD10			10																										
CARD14															9														
CARD16																													9
CARD8														110											210				
CARD9								32																					
CARHSP1																			20						66				
CARS																													26
CARTPT														49															
CASKIN1														8															
CASP1														94															
CASP10																									144				29
CASP2														68	78														152
CASP3									52																				
CASP6																									22				
CASP7									96							24													
CASP8															45														
CASR														6															
CASS4																									152				
CAST														27	24														
CASZ1														18															
CAT														28															
CAV1			52																								116		
CAV2																									136				
CBFA2T2																									195				
CBFA2T3																22													
CBL														6	9										41				
CBLL1																													11
CBLN1															16														
CBLN2																									8				
CBLN3									15																				
CBLN4				13																									
CBR4														14	8														
CBX2															27														
CBX5								219						45	177	36		39							246				
CC2D1B									17					17											27				
CC2D2A														37											107				
CCAR1														33															
CCBL1														69															
CCBL2																58													
CCDC102A														36															
CCDC106														18															
CCDC107														10															28
CCDC108															11	27													
CCDC113		58		54										38											18				58
CCDC114														24															
CCDC115																									41				
CCDC117														45											43				
CCDC120																									56				
CCDC124												56																	
CCDC125														28											115				
CCDC132														66	2														
CCDC140														9															
CCDC141																									17				
CCDC144A																													
CCDC144NL														17	35										73				
CCDC148																			18						56				
CCDC149																							16						
CCDC152														83	58										67				41
CCDC169														30															
CCDC169-SOHLH2															25														
CCDC170															13										51				
CCDC171															8														
