	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
ARRDC4															23														
ARRDC5														3															
ARSB															6														
ARSD														5											30				
ARSJ															5														
ARSK															5										50				
ART1																									10				
ART3										21																			
ARTN														30															
ARV1															5														
AS3MT																									35				
ASAP1														26	10														
ASAP3														10															
ASB1														11	15														
ASB13																													7
ASB14								22																					
ASB15														7															
ASB16																									10				
ASB3															15														
ASB4														10															
ASB6			69																										69
ASB8																									44				
ASB9																													45
ASCC1																													4
ASCC2																			16										
ASCC3															10														
ASCL1														10															
ASF1A															7														
ASH1L														2	11														
ASIC3																													37
ASPA									18																				
ASPH			20											76				10											
ASPHD2									14																				
ASPN		8				12																						18	22
ASPRV1												11		5															
ASRGL1														8															
ASTE1														8															
ASTN1															7														
ASTN2														100	6										45				12
ASXL2														12	6				7										
ASZ1																													11
ATAD1														9															
ATAD2B														36															
ATAD3C														4															
ATAT1															14														
ATCAY														7	6	14									123		2		
ATF2										6					20										40				6
ATF3																													34
ATF5														6															
ATF6															5														
ATF7															54														
ATF7IP2														14											40				27
ATG10																									58				
ATG12															8										30				
ATG13																													48
ATG14														16											23				
ATG16L1												60																45	
ATG2A														12															
ATG4A									4																				
ATG4B														16															
ATG5														6	5														
ATG7			54									18			18														
ATG9A																			20										
ATG9B																						10							
ATL2														8															
ATM																									7				
ATOX1														20															
ATP10B																		14											
ATP11B															9														
ATP12A										32																			
ATP13A2																									11				
ATP13A3														4	15														
ATP1A2														4											6				
ATP1A3														66															42
ATP1B1														10															
ATP1B2																									5				
ATP2A1														14															
ATP2A2														16					3						5				
ATP2A3																							90						
ATP2B1												12		2															15
ATP2B2														66	6														
ATP2B3										19													16						15
ATP2B4														4	26	12													
ATP2C1								48						28															
ATP4B										9				1															
ATP5B														5															
ATP5F1									8																				
ATP5J2																			36										
ATP5J2-PTCD1														4											41				37
ATP5L2										9																			
ATP5S																									58				
ATP6V0A2																									26				
