	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ARL8B								6.0																					14.0
ARMC10															42.0										60.0				
ARMC3														7.0															
ARMC5														10.0	12.0														30.0
ARMC6														50.0															
ARMC7															2.0														
ARMCX4														13.0															
ARMCX5-GPRASP2														12.0															
ARMS2														3.0															
ARNT									21.0																				
ARNT2															57.0														
ARNTL2																									420.0				
ARPC4-TTLL3		12.0													6.0														6.0
ARPC5																									7.0				
ARPP21															27.0														
ARRB1														8.0															
ARRDC3														11.0	3.0														
ARRDC4															23.0														
ARRDC5														3.0															
ARSB															6.0														
ARSD														5.0											30.0				
ARSJ															5.0														
ARSK															5.0										50.0				
ART1																									10.0				
ART3										21.0																			
ARTN														30.0															
ARV1															5.0														
AS3MT																									35.0				
ASAP1														26.0	10.0														
ASAP3														10.0															
ASB1														11.0	15.0														
ASB13																													7.0
ASB14								22.0																					
ASB15														7.0															
ASB16																									10.0				
ASB3															15.0														
ASB4														10.0															
ASB6			69.0																										69.0
ASB8																									44.0				
ASB9																													45.0
ASCC1																													4.0
ASCC2																			16.0										
ASCC3															10.0														
ASCL1														10.0															
ASF1A															7.0														
ASH1L														2.0	11.0														
ASIC3																													37.0
ASPA									18.0																				
ASPH			20.0											76.0				10.0											
ASPHD2									14.0																				
ASPN		8.0				12.0																						18.0	22.0
ASPRV1												11.0		5.0															
ASRGL1														8.0															
ASTE1														8.0															
ASTN1															7.0														
ASTN2														100.0	6.0										45.0				12.0
ASXL2														12.0	6.0				7.0										
