	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-143-3p		2	1	3			1	12	6	1	1		2	44	29	1		1	4			1			30		1	1	12
hsa-miR-143-5p	3	2						8	1	3			2	47	49	3		4			1			7	111		1		25
hsa-miR-144-3p			3					3	6	4	1			46	63			3	1	1				1	4	4			10
hsa-miR-144-5p			5					8	7					21	31	1		6						3					9
hsa-miR-145-3p		1	3	1				4		2				34	20	1		5							1		1		
hsa-miR-145-5p		2	1					8	4			2		40	29	2		1				1		1	5		7		4
hsa-miR-1468									1					10	19	1									5		1		12
hsa-miR-1469								2						8							1				37	1			
hsa-miR-146a-3p		2	2	2		1		12	6	1	1	10	1	26	26	2		1					1	4	34		6		13
hsa-miR-146a-5p		3	5	3					1			1		42	23	5		3	6	1					10		3		5
hsa-miR-146b-3p			2		6			3	9	2				24	21	3								1	11			1	9
hsa-miR-146b-5p		3	5	3					1			1		42	23	5		3	6	1					10		3		5
hsa-miR-1470			6					2						23	20	3									5				1
hsa-miR-1471		1							2					12	3									1	5				4
hsa-miR-147a		1	7						6			5		75	22			2	1		1			9	84			2	21
hsa-miR-147b			1					1	1					24	16									1	4				27
hsa-miR-148a-3p		1	7					1	9	3	1	1		60	29	2		2	1			1			68		1		12
hsa-miR-148a-5p				1				4	7		1			24	48			1	3						8				5
hsa-miR-148b-3p		1	7					1	9	3	1	1		60	29	2		2	1			1			68		1		12
hsa-miR-148b-5p			5	1				4	6					28	21				2				1	3	9				7
hsa-miR-149-3p	1	1	9	3				7	4					47	15	13			2					1	160				4
hsa-miR-149-5p			3					2	9	3				18	17	1			1						87		4		10
hsa-miR-150-3p									2	1				33	20	2		1							2		1		13
hsa-miR-150-5p		5	24	1				1	2					24	30	7									194				14
hsa-miR-151a-3p			1	2					3	1		1		13	24	2		2	2				4	2	2				4
hsa-miR-151a-5p			4	4			2	6	1					23	16	16		3											1
hsa-miR-151b			4	4			2	6	1					23	16	16		3											1
hsa-miR-152		1	7					1	9	3	1	1		60	29	2		2	1			1			68		1		12
hsa-miR-153	1	2	1					1	5	4	1		1	26	28			2	1			2			8				10
hsa-miR-1537				2				5	11	3		3		20	33			4	2					1	7		3		
hsa-miR-1538								3		2				11	13										3	1			3
hsa-miR-1539		2	1	1				3	2					21	9	3									68				4
hsa-miR-154-3p				4				6	7		1	3		20	32	8		1			1			2		3			11
hsa-miR-154-5p		1	2	3					5			3		19	28	2								2	5	2			12
hsa-miR-155-3p		2	2						2		2			39	27	3		8							6		1		3
hsa-miR-155-5p	1	3	4				2	6	2	2		2		41	19	6		3						1	9		1		15
