	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1914-3p		1	2					5	2	3				79	34	5		9	5		1	2		2	25		1		6
hsa-miR-1914-5p		2	3					16	6	3	1		3	41	13	4		7		1				2	54				11
hsa-miR-1915-3p		1	12					3	4	4	1			94	30	5	1	1	7		2	1		4	64				17
hsa-miR-1915-5p			2		2				1			1		29	24	2		1	1						28				13
hsa-miR-192-3p				5				2	6	1		1		66	17	26		5							23				8
hsa-miR-192-5p		5	7					1	2					16	8	4		5							15				7
hsa-miR-193a-3p			6		2			2	10			2		41	55	4		6	1				1		27				9
hsa-miR-193a-5p		6	1					3	1					16	34	4		2	1						10				7
hsa-miR-193b-3p			6		2			2	10			2		41	55	4		6	1				1		27				9
hsa-miR-193b-5p		2	1					1	2			2		32	23	1			4	2				2	22		1		18
hsa-miR-194-3p		1	12	2				5	1	2			1	55	28	5			3						10			8	5
hsa-miR-194-5p			3					2	5					18	27			2		2					35		1		18
hsa-miR-195-3p								4	16	1		5		44	88			2	1	1				1	7	4	7		7
hsa-miR-195-5p		1	8	2				4	5			3	10	52	12	4		2		1		1	1	2	27		8		17
hsa-miR-196a-3p			9					6	9	1				36	18									1	13				4
hsa-miR-196a-5p								5						18	19	3		1	2					2	13	2			1
hsa-miR-196b-3p		2	1	2				1						12	6	4			1						8				14
hsa-miR-196b-5p								5						18	19	3		1	2					2	13	2			1
hsa-miR-197-3p		1		1				1	9			1		25	13	4		2	3			1			24				13
hsa-miR-197-5p									4			2		5	6	4		2						3	18				5
hsa-miR-1972			1	1	1				2	9				58	37				1		2		2	1	63		6		7
hsa-miR-1973	2	1	2					1	12	18		5	1	11	8	4		1		1			1		2				14
hsa-miR-1976		5	28					8	6	4		7		60	23	10			3					3	36	2	1		14
hsa-miR-198		4	4					10	7			1		54	16	4		1	5						18				6
hsa-miR-199a-3p					18		1	11	9	7	1	2		38	22	1									28				7
hsa-miR-199a-5p		1	2					1	7	2	1			59	19			6	1						48				8
hsa-miR-199b-3p					18		1	11	9	7	1	2		38	22	1									28				7
hsa-miR-199b-5p		1	2					1	7	2	1			59	19			6	1						48				8
hsa-miR-19a-3p			5					12	5				3	40	31	5		8			1	1			43		1		7
hsa-miR-19a-5p			7	3				4	9	2	2			37	40	4		3				1		2	26		1		8
hsa-miR-19b-1-5p			7	3				4	9	2	2			37	40	4		3				1		2	26		1		8
